Hot_Junction_Temperature_C,Voltage_mV_ColdJunction_25C,Voltage_mV_ColdJunction_0C
30.0000,0.2036,1.2039
37.5510,0.5091,1.5127
45.1020,0.8226,1.8184
52.6531,1.1342,2.1319
60.2041,1.4408,2.4440
67.7551,1.7552,2.7568
75.3061,2.0716,3.0711
82.8571,2.3845,3.3883
90.4082,2.6985,3.6971
97.9592,3.0098,4.0137
105.5102,3.3254,4.3206
113.0612,3.6364,4.6344
120.6122,3.9449,4.9453
128.1633,4.2556,5.2547
135.7143,4.5614,5.5622
143.2653,4.8647,5.8682
150.8163,5.1717,6.1705
158.3673,5.4726,6.4738
165.9184,5.7788,6.7790
173.4694,6.0789,7.0789
181.0204,6.3801,7.3782
188.5714,6.6805,7.6798
196.1224,6.9858,7.9817
203.6735,7.2848,8.2863
211.2245,7.5866,8.5879
218.7755,7.8897,8.8921
226.3265,8.1954,9.1937
233.8776,8.4998,9.4996
241.4286,8.8057,9.8063
248.9796,9.1125,10.1112
256.5306,9.4236,10.4205
264.0816,9.7273,10.7270
271.6327,10.0367,11.0372
279.1837,10.3466,11.3477
286.7347,10.6608,11.6574
294.2857,10.9739,11.9729
301.8367,11.2842,12.2838
309.3878,11.5962,12.5982
316.9388,11.9103,12.9131
324.4898,12.2278,13.2276
332.0408,12.5431,13.5432
339.5918,12.8583,13.8572
347.1429,13.1719,14.1726
354.6939,13.4902,14.4898
362.2449,13.8068,14.8035
369.7959,14.1243,15.1212
377.3469,14.4433,15.4392
384.8980,14.7601,15.7579
392.4490,15.0795,16.0792
400.0000,15.3970,16.3953
