Time_s,Temperature_C,SSR_Control_Voltage_V
0.0000,25.0000,0.0000
0.5000,25.0609,5.0000
1.0000,24.8528,5.0000
1.5000,25.0033,5.0000
2.0000,25.1914,5.0000
2.5000,26.4735,5.0000
3.0000,27.8805,5.0000
3.5000,29.5680,5.0000
4.0000,31.1603,5.0000
4.5000,32.8063,5.0000
5.0000,34.2788,5.0000
5.5000,36.0920,5.0000
6.0000,37.8780,5.0000
6.5000,39.5148,5.0000
7.0000,41.3575,5.0000
7.5000,43.0611,5.0000
8.0000,44.4929,5.0000
8.5000,46.1647,5.0000
9.0000,47.5646,5.0000
9.5000,49.3266,5.0000
10.0000,50.8961,5.0000
10.5000,52.4326,5.0000
11.0000,53.8640,5.0000
11.5000,55.6706,5.0000
12.0000,57.1948,5.0000
12.5000,58.6584,5.0000
13.0000,60.1316,5.0000
13.5000,61.7760,5.0000
14.0000,63.3807,5.0000
14.5000,64.9887,5.0000
15.0000,66.5942,5.0000
15.5000,68.5356,5.0000
16.0000,69.9599,5.0000
16.5000,71.3576,5.0000
17.0000,72.6897,5.0000
17.5000,74.3025,5.0000
18.0000,76.0118,5.0000
18.5000,77.4659,5.0000
19.0000,78.7691,5.0000
19.5000,80.0705,5.0000
20.0000,81.6619,5.0000
20.5000,83.2657,5.0000
21.0000,84.8233,5.0000
21.5000,86.1332,5.0000
22.0000,87.6175,5.0000
22.5000,89.0731,5.0000
23.0000,90.5435,5.0000
23.5000,92.1388,5.0000
24.0000,93.5983,5.0000
24.5000,95.1434,5.0000
25.0000,96.5602,5.0000
25.5000,98.0158,5.0000
26.0000,99.5343,5.0000
26.5000,100.6293,5.0000
27.0000,101.9476,5.0000
27.5000,103.2306,5.0000
28.0000,104.4750,5.0000
28.5000,105.7874,5.0000
29.0000,107.4488,5.0000
29.5000,108.6316,5.0000
30.0000,110.1766,5.0000
30.5000,111.1855,5.0000
31.0000,112.4602,5.0000
31.5000,113.8294,5.0000
32.0000,115.2781,5.0000
32.5000,116.7462,5.0000
33.0000,118.2250,5.0000
33.5000,119.4698,5.0000
34.0000,120.6871,5.0000
34.5000,122.1637,5.0000
35.0000,123.4248,5.0000
35.5000,124.4642,5.0000
36.0000,125.5281,5.0000
36.5000,126.6306,5.0000
37.0000,128.0122,5.0000
37.5000,129.3176,5.0000
38.0000,130.7276,5.0000
38.5000,131.9085,5.0000
39.0000,133.2021,5.0000
39.5000,134.5842,5.0000
40.0000,135.7739,5.0000
40.5000,137.1123,5.0000
41.0000,138.2218,5.0000
41.5000,139.3868,5.0000
42.0000,140.5435,5.0000
42.5000,141.5331,5.0000
43.0000,142.8553,5.0000
43.5000,143.9812,5.0000
44.0000,145.1992,5.0000
44.5000,146.5061,5.0000
45.0000,147.8012,5.0000
45.5000,149.1350,5.0000
46.0000,150.3109,5.0000
46.5000,151.4174,5.0000
47.0000,152.5883,5.0000
47.5000,153.4332,5.0000
48.0000,154.3229,5.0000
48.5000,155.2340,5.0000
49.0000,156.2067,5.0000
49.5000,157.4551,5.0000
50.0000,158.4377,5.0000
50.5000,159.5219,5.0000
51.0000,160.9374,5.0000
51.5000,162.0164,5.0000
52.0000,163.3100,5.0000
52.5000,164.2644,5.0000
53.0000,165.3608,5.0000
